"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"TG","KBV","BKK","15957.0","131.0","27276.0","49191.0","450890.0","5686252.0","Feb2013","140.0","31464.0","224.74285714285713","11200.0","649.0","142.0","7.0"
"DD","NST","DMK","17503.0","68.0","27479.0","49191.0","1541843.0","5686252.0","Jul2013","155","29295","189.0","10850","610.0","164.0","7.0"
"DD","NST","DMK","18314.0","77.0","27479.0","49191.0","1541843.0","5686252.0","Aug2013","155","29295","189.0","10850","610.0","164.0","7.0"
"DD","NST","DMK","16408.0","72.0","27479.0","49191.0","1541843.0","5686252.0","Sep2013","150","28350","189.0","10500","610.0","164.0","7.0"
"DD","NST","DMK","19043.0","70.0","27479.0","49191.0","1541843.0","5686252.0","Dec2013","186","35154","189.0","12865","610.0","164.0","7.0"
"DD","NST","DMK","18422.0","70.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","Jan2014","186","35154","189.0","12865","610.0","164.0","7.0"
"DD","NST","DMK","17232.0","72.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","Feb2014","168","31752","189.0","11620","610.0","164.0","7.0"
"DD","NST","DMK","19284.0","72.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","Mar2014","186","35154","189.0","12875","610.0","164.0","7.0"
"DD","NST","DMK","18270.0","75.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","Apr2014","180","34020","189.0","12600","610.0","164.0","7.0"
"DD","NST","DMK","17951.0","76.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","May2014","186","35154","189.0","13020","610.0","164.0","7.0"
"DD","NST","DMK","17907.0","71.0","27724.7362831868","48842.9433628325","1548028.0","5692284.0","Nov2014","180","34020","189.0","12600","610.0","164.0","7.0"
"TG","CEI","BKK","11705.0","121.0","13510.0","49191.0","1204660.0","5686252.0","Apr2013","90.0","18544.0","206.04444444444445","7200.0","666.0","142.0","7.0"
"DD","DMK","NST","17133.0","68.0","49191.0","27479.0","5686252.0","1541843.0","Jul2013","155","29295","189.0","10850","610.0","164.0","7.0"
"DD","DMK","NST","18112.0","77.0","49191.0","27479.0","5686252.0","1541843.0","Aug2013","155","29295","189.0","10850","610.0","164.0","7.0"
"DD","DMK","NST","16399.0","72.0","49191.0","27479.0","5686252.0","1541843.0","Sep2013","150","28350","189.0","10500","610.0","164.0","7.0"
"DD","DMK","NST","18759.0","70.0","49191.0","27479.0","5686252.0","1541843.0","Dec2013","186","35154","189.0","12555","610.0","164.0","7.0"
"DD","DMK","NST","18002.0","70.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","Jan2014","186","35154","189.0","12555","610.0","164.0","7.0"
"DD","DMK","NST","16841.0","72.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","Feb2014","168","31752","189.0","11340","610.0","164.0","7.0"
"DD","DMK","NST","18828.0","72.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","Mar2014","186","35154","189.0","12650","610.0","164.0","7.0"
