Travel Month,Travel Year,Op Airline Code,Airline Code,Origin Code,Origin Name,Destination Name,Destination Code,Thru Point Name,Thru Point Code,Equipment Code,Equipment Name,Flights,Seats,Seats/ Dep,Block Mins,Average KMs
Jan 2013,2013,PG,PG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,319,319 (A319),57,8208,144,4560,565
Jan 2013,2013,PG,PG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,320,320 (A320),98,15876,162,7840,565
Jan 2013,2013,PG,PG,CNX,"Chiang Mai, TH","Ko Samui, TH",USM,,,319,319 (A319),31,4464,144,3255,1027
Jan 2013,2013,PG,PG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,320,320 (A320),217,35154,162,18445,673
Jan 2013,2013,PG,PG,HKT,"Phuket, TH","Ko Samui, TH",USM,,,AT7,AT7 (ATR-72),155,10850,70,8525,249
Jan 2013,2013,PG,PG,HKT,"Phuket, TH","U-Tapao, TH",UTP,,,AT7,AT7 (ATR-72),31,2170,70,3100,586
Jan 2013,2013,PG,PG,KBV,"Krabi, TH","Ko Samui, TH",USM,,,AT7,AT7 (ATR-72),31,2170,70,1550,200
Jan 2013,2013,PG,PG,LPT,"Lampang, TH","Bangkok, TH",BKK,,,AT7,AT7 (ATR-72),62,4340,70,5580,497
Jan 2013,2013,PG,PG,TDX,"Trat, TH","Bangkok, TH",BKK,,,AT7,AT7 (ATR-72),93,6510,70,5580,233
Jan 2013,2013,PG,PG,THS,"Sukhothai, TH","Bangkok, TH",BKK,,,AT7,AT7 (ATR-72),62,4340,70,4650,377
Jan 2013,2013,PG,PG,USM,"Ko Samui, TH","Bangkok, TH",BKK,,,319,319 (A319),442,63648,144,28730,465
Jan 2013,2013,PG,PG,USM,"Ko Samui, TH","Bangkok, TH",BKK,,,AT7,AT7 (ATR-72),264,18480,70,23750,465
Jan 2013,2013,PG,PG,USM,"Ko Samui, TH","Krabi, TH",KBV,,,AT7,AT7 (ATR-72),31,2170,70,1705,200
Jan 2013,2013,PG,PG,USM,"Ko Samui, TH","Phuket, TH",HKT,,,AT7,AT7 (ATR-72),155,10850,70,9455,249
Jan 2013,2013,PG,PG,USM,"Ko Samui, TH","U-Tapao, TH",UTP,,,AT7,AT7 (ATR-72),31,2170,70,2325,360
Jan 2013,2013,PG,PG,UTP,"U-Tapao, TH","Ko Samui, TH",USM,,,AT7,AT7 (ATR-72),31,2170,70,2170,360
Jan 2013,2013,PG,PG,UTP,"U-Tapao, TH","Phuket, TH",HKT,,,AT7,AT7 (ATR-72),31,2170,70,3100,586
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,320,320 (A320),62,10788,174,4340,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,330,330 (A330),5,1495,299,350,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,333,333 (A330-300),1,305,305,80,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,744,744 (B747-400 Passenger),36,13500,375,2710,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,747,747 (B747 Passenger),12,4668,389,960,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,773,773 (B777-300 Passenger),68,26384,388,5010,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,777,777 (B777 Passenger),7,2506,358,540,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Mai, TH",CNX,,,AB6,AB6 (A300-600 Passenger),119,29393,247,8640,565
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Chiang Rai, TH",CEI,,,AB6,AB6 (A300-600 Passenger),93,22971,247,7440,666
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Hat Yai, TH",HDY,,,333,333 (A330-300),24,7320,305,2040,750
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Hat Yai, TH",HDY,,,734,734 (B737-400),31,4650,150,2790,750
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Hat Yai, TH",HDY,,,AB6,AB6 (A300-600 Passenger),69,17043,247,6020,750
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Khon Kaen, TH",KKC,,,AB6,AB6 (A300-600 Passenger),124,30628,247,6975,367
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Ko Samui, TH",USM,,,734,734 (B737-400),62,9300,150,4030,465
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Krabi, TH",KBV,,,320,320 (A320),171,29754,174,13680,649
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,320,320 (A320),31,5394,174,2480,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,330,330 (A330),32,9568,299,2565,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,333,333 (A330-300),44,13420,305,3585,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,744,744 (B747-400 Passenger),58,21750,375,4650,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,747,747 (B747 Passenger),35,13615,389,2955,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,773,773 (B777-300 Passenger),4,1552,388,330,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Phuket, TH",HKT,,,AB6,AB6 (A300-600 Passenger),75,18525,247,6034,673
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Surat Thani, TH",URT,,,320,320 (A320),62,10788,174,4650,536
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Ubon Ratchathani, TH",UBP,,,734,734 (B737-400),31,4650,150,2015,476
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Udon Thani, TH",UTH,,,734,734 (B737-400),62,9300,150,4030,451
Jan 2013,2013,TG,TG,BKK,"Bangkok, TH","Udon Thani, TH",UTH,,,AB6,AB6 (A300-600 Passenger),31,7657,247,2015,451
Jan 2013,2013,TG,TG,CEI,"Chiang Rai, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),93,22971,247,7440,666
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,320,320 (A320),62,10788,174,4340,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,330,330 (A330),5,1495,299,350,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,333,333 (A330-300),1,305,305,80,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,744,744 (B747-400 Passenger),36,13500,375,2710,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,747,747 (B747 Passenger),12,4668,389,960,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,773,773 (B777-300 Passenger),68,26384,388,5010,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,777,777 (B777 Passenger),7,2506,358,540,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),119,29393,247,8640,565
Jan 2013,2013,TG,TG,CNX,"Chiang Mai, TH","Phuket, TH",HKT,,,320,320 (A320),31,5394,174,3565,1181
Jan 2013,2013,TG,TG,HDY,"Hat Yai, TH","Bangkok, TH",BKK,,,333,333 (A330-300),24,7320,305,2040,750
Jan 2013,2013,TG,TG,HDY,"Hat Yai, TH","Bangkok, TH",BKK,,,734,734 (B737-400),31,4650,150,2790,750
Jan 2013,2013,TG,TG,HDY,"Hat Yai, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),69,17043,247,5865,750
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,320,320 (A320),31,5394,174,2635,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,330,330 (A330),32,9568,299,2725,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,333,333 (A330-300),44,13420,305,3805,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,744,744 (B747-400 Passenger),58,21750,375,4940,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,747,747 (B747 Passenger),51,19839,389,4490,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,773,773 (B777-300 Passenger),4,1552,388,350,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),75,18525,247,6440,673
Jan 2013,2013,TG,TG,HKT,"Phuket, TH","Chiang Mai, TH",CNX,,,320,320 (A320),31,5394,174,3565,1181
Jan 2013,2013,TG,TG,KBV,"Krabi, TH","Bangkok, TH",BKK,,,320,320 (A320),171,29754,174,13680,649
Jan 2013,2013,TG,TG,KKC,"Khon Kaen, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),124,30628,247,6975,367
Jan 2013,2013,TG,TG,UBP,"Ubon Ratchathani, TH","Bangkok, TH",BKK,,,734,734 (B737-400),31,4650,150,2015,476
Jan 2013,2013,TG,TG,URT,"Surat Thani, TH","Bangkok, TH",BKK,,,320,320 (A320),62,10788,174,4340,536
Jan 2013,2013,TG,TG,USM,"Ko Samui, TH","Bangkok, TH",BKK,,,734,734 (B737-400),62,9300,150,4030,465
Jan 2013,2013,TG,TG,UTH,"Udon Thani, TH","Bangkok, TH",BKK,,,734,734 (B737-400),62,9300,150,3720,451
Jan 2013,2013,TG,TG,UTH,"Udon Thani, TH","Bangkok, TH",BKK,,,AB6,AB6 (A300-600 Passenger),31,7657,247,1860,451
