"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Mar2013","DD","CNX","UTH","93","3162","34.0","7440","433.0"
"Mar2013","DD","DMK","BFV","14","476","34.0","910","296.0"
"Mar2013","DD","DMK","CNX","187","35343","189.0","13090","565.0"
"Mar2013","DD","DMK","CEI","93","17577","189.0","6975","666.0"
"Mar2013","DD","DMK","CJM","62.0","3100.0","50.0","4340.0","380.0"
"Mar2013","DD","DMK","HDY","187","35343","189.0","15895","772.0"
"Mar2013","DD","DMK","LOE","31","2046","66.0","2325","410.0"
"Mar2013","DD","DMK","MAQ","124","4216","34.0","9300","380.0"
"Mar2013","DD","DMK","KOP","31.0","5819.0","187.70967741935485","2170.0","579.0"
"Mar2013","DD","DMK","NST","125.0","21145.0","169.16","8750.0","610.0"
"Mar2013","DD","DMK","NNT","62.0","3100.0","50.0","5890.0","541.0"
"Mar2013","DD","DMK","PHS","155","10230","66.0","10850","320.0"
"Mar2013","DD","DMK","PRH","17","578","34.0","1445","470.0"
"Mar2013","DD","DMK","HKT","93","17577","189.0","7440","689.0"
"Mar2013","DD","DMK","ROI","62.0","3100.0","50.0","4650.0","418.0"
"Mar2013","DD","DMK","SNO","62","4092","66.0","5580","521.0"
"Mar2013","DD","DMK","URT","94","17766","189.0","6580","552.0"
"Mar2013","DD","DMK","TST","62.0","10518.0","169.6451612903226","4960.0","718.0"
"Mar2013","DD","DMK","UBP","124.0","22196.0","179.0","8060.0","483.0"
"Mar2013","DD","DMK","UTH","155","29295","189.0","10075","451.0"
"Mar2013","DD","HDY","DMK","187","35343","189.0","15895","772.0"
"Mar2013","DD","HDY","CNX","31","5859","189.0","4025","1320.0"
"Mar2013","DD","HGN","CNX","124","4216","34.0","4340","119.0"
"Mar2013","DD","HKT","DMK","93","17577","189.0","7440","689.0"
"Mar2013","DD","KOP","DMK","31.0","5819.0","187.70967741935485","2170.0","579.0"
"Mar2013","DD","LOE","DMK","31","2046","66.0","2325","410.0"
"Mar2013","DD","MAQ","DMK","124","4216","34.0","9300","380.0"
"Mar2013","DD","MAQ","CNX","31","1054","34.0","1550","196.0"
"Mar2013","DD","NNT","DMK","62.0","3100.0","50.0","5890.0","541.0"
"Mar2013","DD","NST","DMK","125.0","21145.0","169.16","8750.0","610.0"
"Mar2013","DD","PHS","DMK","155","10230","66.0","10850","320.0"
"Mar2013","DD","PRH","DMK","17","578","34.0","1445","470.0"
